Player,Nation,Pos,Squad,Comp,Age,GA,GA90,SoTA,Saves,Stp,Stp%,CS,PKA,PKsv,PKm,PSxG,PSxG/SoT,PSxG+/-,/90,Att (GK),Thr,Launch%,AvgLen,Recov,Opp,AvgDist,#OPA
Antonio Sivera,es ESP,GK,Alavés,es La Liga,27.0,39.0,1.25,112.0,75.0,30.0,6.6,8.0,9.0,0.0,0.0,39.0,0.28,2.0,0.06,735.0,70.0,71.8,47.7,21,453.0,12.7,29.0
Łukasz Skorupski,pl POL,GK,Bologna,it Serie A,33.0,33.0,1.26,82.0,50.0,18.0,8.4,8.0,1.0,1.0,0.0,28.7,0.34,-2.3,-0.09,1005.0,113.0,27.9,31.6,47,215.0,13.0,23.0
Daniele Sommariva,it ITA,GK,Genoa,it Serie A,27.0,1.0,3.21,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.3,-0.1,-0.36,9.0,0.0,66.7,42.3,0,19.0,3.3,0.0
Yann Sommer,ch SUI,GK,Inter,it Serie A,35.0,29.0,0.91,110.0,81.0,14.0,3.9,13.0,3.0,1.0,0.0,31.7,0.24,0.7,0.02,1199.0,136.0,16.9,26.6,46,356.0,13.2,14.0
David Soria,es ESP,GK,Getafe,es La Liga,31.0,39.0,1.03,126.0,86.0,25.0,5.2,9.0,8.0,1.0,0.0,42.0,0.29,3.0,0.08,719.0,68.0,72.6,48.8,28,479.0,14.7,39.0
Juan Soriano,es ESP,GK,Leganés,es La Liga,26.0,7.0,1.17,25.0,19.0,7.0,5.4,1.0,0.0,0.0,0.0,8.8,0.36,2.8,0.47,131.0,20.0,56.5,43.9,5,130.0,8.4,0.0
Marco Sportiello,it ITA,GK,Milan,it Serie A,32.0,2.0,1.43,6.0,4.0,1.0,6.7,1.0,0.0,0.0,0.0,2.2,0.36,0.2,0.12,46.0,8.0,21.7,27.8,1,15.0,25.5,3.0
Filip Stankovic,rs SRB,GK,Venezia,it Serie A,22.0,23.0,1.51,83.0,60.0,12.0,4.8,0.0,4.0,1.0,0.0,25.2,0.26,3.2,0.21,439.0,51.0,29.4,31.6,15,249.0,10.8,13.0
Jason Steele,eng ENG,GK,Brighton,eng Premier League,33.0,1.0,0.5,4.0,3.0,2.0,9.1,1.0,0.0,0.0,0.0,0.5,0.12,-0.5,-0.26,110.0,7.0,13.6,25.1,7,22.0,15.4,3.0
Jakub Stolarczyk,pl POL,GK,Leicester City,eng Premier League,23.0,16.0,1.6,44.0,28.0,10.0,5.9,2.0,0.0,0.0,0.0,15.4,0.35,-0.6,-0.06,328.0,36.0,46.3,34.2,8,169.0,12.5,8.0
