Player,Nation,Pos,Squad,Comp,Age,Gls,Ast,G-PK,PK,PKatt,xG,npxG,xAG,G-xG,np:G-xG,Sh,SoT,Sh/90,SoT/90,FK,Cmp,Att,Cmp%,TotDist,PrgDist,xA,A-xAG,KP,1/3,PPA,CrsPA,Live,TB,Sw,Crs,In,Out,Str,PrgC,PrgP,PrgR,SCA90,PassLive,PassDead,TO,Sh_stats_gca,Fld,Def,GCA90,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Lost,Int,Blocks_stats_defense,Clr,Err,Touches,Def Pen,Att Pen,Succ,Tkld,Carries,CPA,Mis,Dis,Rec,Won,Fls,PKwon,PKcon,Recov
Keinan Davis,eng ENG,FW,Udinese,it Serie A,26.0,2,1,2,0,0,2.9,2.9,2.1,-0.9,-0.9,29,11,2.45,0.93,0,208,275,75.6,3083,415,0.7,-1.1,20,13,8,0,255,0,2,3,0,0,0,26,22,77,2.95,27,0,4,3,0,1,0.17,9,4,1,4,4,3,1,2,5,0,404,5,67,17,18,231,16,33,25,325,37,24,0,0,34
Leif Davis,eng ENG,DF,Ipswich Town,eng Premier League,24.0,1,2,1,0,0,1.0,1.0,4.9,0.0,0.0,16,2,0.52,0.07,2,919,1284,71.6,15858,6353,4.7,-2.9,61,33,28,12,970,3,5,161,56,13,0,52,59,137,3.05,46,39,3,3,1,1,0.13,46,27,33,9,4,18,25,25,77,3,1562,117,42,13,18,708,11,37,16,835,34,27,0,2,113
Zuriko Davitashvili,ge GEO,"FW,MF",Saint-Étienne,fr Ligue 1,23.0,9,8,7,2,2,8.1,6.6,4.7,0.9,0.4,68,24,2.2,0.78,5,737,938,78.6,10639,2497,5.5,3.3,50,38,23,4,799,6,1,85,13,34,0,95,73,224,3.85,55,23,16,13,8,0,0.5,22,14,9,7,6,34,14,20,14,0,1298,17,123,46,71,764,47,74,57,905,14,20,2,0,117
Paweł Dawidowicz,pl POL,"DF,MF",Hellas Verona,it Serie A,29.0,0,0,0,0,0,0.3,0.3,0.0,-0.3,-0.3,4,0,0.2,0.0,0,653,797,81.9,11772,3968,0.2,0.0,0,52,1,0,726,1,5,1,0,0,0,10,39,3,0.39,6,2,0,0,0,0,0.05,45,24,20,22,3,9,20,16,70,2,982,93,10,2,1,457,0,7,3,547,33,36,0,1,54
Craig Dawson,eng ENG,DF,Wolves,eng Premier League,34.0,0,0,0,0,0,0.5,0.5,0.0,-0.5,-0.5,5,1,0.46,0.09,0,484,559,86.6,9745,3180,0.1,0.0,2,22,1,0,528,1,11,0,0,0,0,6,20,5,0.65,6,0,0,1,0,0,0.19,15,3,8,6,1,3,9,16,52,1,671,130,14,1,2,390,0,2,0,443,21,6,0,0,35
Kevin De Bruyne,be BEL,"MF,FW",Manchester City,eng Premier League,33.0,4,7,4,0,0,5.1,5.1,8.0,-1.1,-1.1,57,15,3.01,0.79,8,908,1196,75.9,15487,4454,6.7,-1.0,57,88,59,13,1031,15,10,145,33,20,2,51,157,150,5.97,73,26,3,6,3,2,0.58,17,9,7,5,5,18,7,8,10,1,1368,10,79,13,17,812,20,26,28,1021,5,17,0,0,64
Bobby De Cordova-Reid,jm JAM,FW,Leicester City,eng Premier League,31.0,1,2,1,0,0,0.8,0.8,1.2,0.2,0.2,7,3,0.85,0.36,0,145,206,70.4,1883,587,0.2,0.8,6,9,5,0,198,0,0,15,0,0,0,14,15,48,1.57,8,0,0,3,2,0,0.36,9,4,3,6,0,10,0,6,10,0,272,15,16,0,8,174,6,11,10,188,6,9,1,0,29
Charles De Ketelaere,be BEL,"MF,FW",Atalanta,it Serie A,23.0,7,7,7,0,0,7.3,7.3,6.0,-0.3,-0.3,48,20,2.09,0.87,0,754,995,75.8,11207,3089,4.8,1.0,39,81,53,9,932,14,5,56,1,0,0,108,140,211,3.83,73,0,5,7,3,0,0.61,13,9,2,9,2,11,3,14,9,1,1238,10,135,43,45,832,41,52,50,1008,36,22,0,0,78
Rodrigo De Paul,ar ARG,MF,Atlético Madrid,es La Liga,30.0,3,5,3,0,0,1.3,1.3,5.6,1.7,1.7,19,4,0.81,0.17,0,1449,1773,81.7,24390,7515,5.8,-0.6,42,180,58,13,1650,27,14,59,2,7,0,85,231,64,3.84,77,6,1,3,2,1,0.56,33,26,12,16,5,19,6,25,15,3,1950,27,20,14,15,1373,3,33,24,1544,4,19,0,0,128
Mattia De Sciglio,it ITA,DF,Empoli,it Serie A,31.0,1,0,1,0,0,0.6,0.6,0.2,0.4,0.4,5,3,0.59,0.35,0,233,299,77.9,4506,1744,0.2,-0.2,3,12,4,2,255,0,4,7,0,0,0,4,18,7,0.94,5,1,0,0,1,1,0.0,18,13,10,8,0,3,8,10,35,1,394,35,9,1,2,161,0,5,4,191,6,8,0,0,27
Lorenzo De Silvestri,it ITA,DF,Bologna,it Serie A,36.0,1,0,1,0,0,0.8,0.8,0.3,0.2,0.2,9,4,0.76,0.34,0,446,564,79.1,7881,3173,0.4,-0.3,5,40,6,5,441,0,2,23,0,0,0,4,46,30,1.19,10,2,0,2,0,0,0.17,11,6,7,1,3,9,10,12,32,0,657,31,11,1,4,313,0,7,2,380,12,17,0,0,26
Thibault De Smet,be BEL,DF,Reims,fr Ligue 1,26.0,0,0,0,0,0,0.1,0.1,0.0,-0.1,-0.1,1,0,0.47,0.0,0,105,116,90.5,1934,575,0.0,0.0,0,11,0,0,106,0,0,0,0,0,0,1,9,2,0.0,0,0,0,0,0,0,0.0,6,4,5,1,0,0,4,5,12,0,146,24,1,0,1,83,0,2,0,94,1,1,0,0,6
Koni De Winter,be BEL,DF,Genoa,it Serie A,22.0,3,0,3,0,0,2.1,2.1,0.2,0.9,0.9,13,7,0.55,0.3,0,1116,1289,86.6,20309,6901,0.2,-0.2,3,42,3,2,1182,0,3,4,0,0,0,10,56,10,0.63,11,2,0,0,1,1,0.04,33,19,21,8,4,8,25,11,118,3,1551,161,34,6,11,807,0,17,8,938,74,43,0,2,114
