Player,Nation,Pos,Squad,Comp,Age,Gls,Ast,G-PK,PK,PKatt,xG,npxG,xAG,G-xG,np:G-xG,Sh,SoT,Sh/90,SoT/90,FK,Cmp,Att,Cmp%,TotDist,PrgDist,xA,A-xAG,KP,1/3,PPA,CrsPA,Live,TB,Sw,Crs,In,Out,Str,PrgC,PrgP,PrgR,SCA90,PassLive,PassDead,TO,Sh_stats_gca,Fld,Def,GCA90,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Lost,Int,Blocks_stats_defense,Clr,Err,Touches,Def Pen,Att Pen,Succ,Tkld,Carries,CPA,Mis,Dis,Rec,Won,Fls,PKwon,PKcon,Recov
Lewis Miley,eng ENG,MF,Newcastle Utd,eng Premier League,18.0,1,0,1,0,0,0.5,0.5,0.0,0.5,0.5,3,2,0.86,0.58,0,168,191,88.0,2439,402,0.3,0.0,1,11,4,0,189,1,0,0,0,0,0,2,17,8,1.15,3,0,0,0,0,1,0.0,14,11,5,7,2,7,2,5,5,2,235,5,6,1,1,112,0,8,1,163,6,3,0,0,16
Éder Militão,br BRA,DF,Real Madrid,es La Liga,26.0,1,1,1,0,0,0.6,0.6,0.5,0.4,0.4,10,3,0.96,0.29,0,636,712,89.3,13095,4633,0.2,0.5,6,56,3,0,676,0,15,2,0,0,0,7,46,1,1.15,9,0,0,2,0,1,0.1,19,17,14,5,0,5,12,13,35,0,819,92,13,5,3,533,0,6,3,603,21,18,0,0,44
Luis Milla,es ESP,MF,Getafe,es La Liga,29.0,1,4,0,1,1,1.8,1.0,3.9,-0.8,-1.0,31,7,0.97,0.22,4,1129,1536,73.5,20495,6152,4.9,0.1,70,149,26,10,1220,4,23,201,45,49,1,32,152,30,4.07,72,43,4,4,5,2,0.19,61,40,28,25,8,37,24,25,28,3,1802,43,20,21,14,799,4,46,17,890,31,38,0,1,168
Pere Milla,es ESP,"MF,FW",Espanyol,es La Liga,31.0,3,0,3,0,0,1.5,1.5,0.3,1.5,1.5,11,5,2.17,0.99,1,97,165,58.8,1707,456,0.3,-0.3,5,9,5,0,145,5,2,14,2,5,0,9,13,27,2.57,11,1,0,1,0,0,0.2,6,2,5,0,1,17,3,10,5,0,239,5,17,2,4,117,4,16,6,140,11,5,0,0,25
Enzo Millot,fr FRA,"MF,FW",Stuttgart,de Bundesliga,22.0,6,5,6,0,1,7.6,6.7,3.1,-1.6,-0.7,43,17,2.1,0.83,0,967,1140,84.8,13665,3306,3.5,1.9,23,89,30,3,1092,5,6,41,3,10,1,44,118,123,3.22,49,2,5,7,3,0,0.49,30,13,10,15,5,23,13,27,6,1,1397,9,75,31,35,848,12,46,36,1067,8,25,0,1,99
James Milner,eng ENG,MF,Brighton,eng Premier League,38.0,0,0,0,0,0,0.2,0.2,0.2,-0.2,-0.2,2,0,1.06,0.0,0,55,74,74.3,899,347,0.2,-0.2,4,3,1,1,63,2,0,8,2,3,0,1,10,10,4.24,5,2,0,0,1,0,0.0,5,2,1,3,1,0,2,4,2,1,93,3,4,1,0,47,0,0,0,59,0,3,0,0,2
Kim Min-jae,kr KOR,DF,Bayern Munich,de Bundesliga,27.0,2,0,2,0,0,1.6,1.6,0.3,0.4,0.4,7,5,0.28,0.2,0,2340,2530,92.5,39041,15291,0.9,-0.3,6,236,2,0,2474,1,5,0,0,0,0,16,181,5,1.03,24,0,0,0,1,1,0.08,35,20,18,13,4,10,37,23,91,4,2764,161,14,3,2,1644,1,14,5,2098,82,25,0,0,153
Yerry Mina,co COL,DF,Cagliari,it Serie A,29.0,1,0,1,0,0,2.3,2.3,0.3,-1.3,-1.3,26,8,0.91,0.28,0,1198,1394,85.9,22018,8376,0.7,-0.3,4,63,6,1,1313,1,2,1,0,0,0,17,76,9,0.91,22,0,0,4,0,0,0.07,66,32,43,21,2,12,37,59,163,3,1797,332,43,3,2,948,0,20,13,969,94,40,0,0,158
Takumi Minamino,jp JPN,"MF,FW",Monaco,fr Ligue 1,29.0,6,3,6,0,0,8.9,8.9,6.6,-2.9,-2.9,57,20,2.3,0.81,0,520,736,70.7,7341,2545,4.8,-3.6,40,66,33,0,714,15,2,23,0,0,0,51,114,193,3.23,67,0,6,6,0,1,0.28,33,19,7,14,12,27,10,26,20,0,1016,24,135,12,24,567,27,56,23,709,19,31,0,0,88
Lucas Mincarelli,fr FRA,DF,Montpellier,fr Ligue 1,20.0,1,0,1,0,0,0.6,0.6,0.3,0.4,0.4,7,2,0.88,0.25,0,309,379,81.5,5124,1980,0.6,-0.3,3,24,2,2,331,0,0,21,4,0,0,15,25,16,0.75,4,1,1,0,0,0,0.0,17,10,6,9,2,7,9,8,27,0,462,35,8,1,4,255,2,5,2,297,5,5,0,0,25
Tyrone Mings,eng ENG,DF,Aston Villa,eng Premier League,31.0,0,0,0,0,0,0.8,0.8,0.2,-0.8,-0.8,9,1,0.72,0.08,0,596,676,88.2,10642,3364,0.2,-0.2,3,48,5,0,630,0,3,1,0,0,0,7,40,1,1.45,15,0,0,1,1,1,0.16,7,6,6,1,0,0,7,13,61,1,794,146,17,2,1,484,1,3,1,532,27,4,0,0,38
Óscar Mingueza,es ESP,"MF,DF",Celta Vigo,es La Liga,25.0,4,6,4,0,0,1.5,1.5,5.6,2.5,2.5,33,10,1.09,0.33,8,1692,2197,77.0,29803,11814,6.4,0.4,35,176,69,11,1814,15,14,139,14,16,0,69,200,194,3.2,77,9,2,4,3,2,0.46,38,24,21,12,5,43,22,35,46,7,2460,63,42,25,31,1386,12,41,14,1692,11,24,1,0,138
Kim Minsu,kr KOR,"MF,FW",Girona,es La Liga,18.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,9,10,90.0,105,8,0.0,0.0,0,0,0,0,10,0,0,0,0,0,0,0,0,2,0.0,0,0,0,0,0,0,0.0,1,0,0,1,0,0,0,0,0,0,18,0,0,0,2,12,0,3,1,15,0,0,0,0,1
Yankuba Minteh,gm GAM,"FW,MF",Brighton,eng Premier League,20.0,6,4,6,0,0,4.1,4.1,5.0,1.9,1.9,34,16,1.66,0.78,0,348,557,62.5,5531,1843,5.0,-1.0,29,14,36,9,510,4,4,91,7,6,0,90,48,201,3.14,37,8,13,3,2,1,0.64,48,35,25,13,10,28,11,22,31,0,836,30,146,46,43,481,67,53,28,511,17,21,0,0,85
Bojan Miovski,mk MKD,FW,Girona,es La Liga,25.0,2,1,2,0,0,2.7,2.7,0.2,-0.7,-0.7,14,4,1.45,0.41,0,86,113,76.1,1260,106,0.2,0.8,4,2,1,1,94,0,0,3,0,0,0,4,4,33,1.03,4,0,1,2,2,1,0.41,7,5,2,2,3,5,2,4,7,0,182,5,29,3,2,88,4,17,6,121,13,13,1,0,13
Rafa Mir,es ESP,"FW,MF",Valencia,es La Liga,27.0,1,2,1,0,0,3.0,3.0,0.7,-2.0,-2.0,27,7,3.23,0.84,0,144,200,72.0,2224,401,0.5,1.3,4,15,4,2,197,0,1,7,0,0,0,10,20,28,1.31,8,0,0,3,0,0,0.48,12,6,8,4,0,6,5,5,9,0,294,12,27,2,11,145,0,12,8,203,12,13,0,0,18
Juan Miranda,es ESP,DF,Bologna,it Serie A,24.0,0,6,0,0,0,0.7,0.7,6.1,-0.7,-0.7,22,5,0.87,0.2,6,1420,1877,75.7,27816,10135,5.6,-0.1,57,156,52,30,1490,5,4,211,18,42,0,34,163,88,3.79,57,32,1,4,1,1,0.51,32,18,11,14,7,19,23,21,50,1,2080,62,20,7,12,1047,4,23,8,1270,36,26,0,0,97
Fabio Miretti,it ITA,"MF,FW",Genoa,it Serie A,20.0,3,3,3,0,0,3.1,3.1,2.0,-0.1,-0.1,24,6,1.29,0.32,1,422,567,74.4,7280,2006,2.1,1.0,22,24,13,2,494,5,8,61,7,22,0,33,54,100,2.84,29,11,4,5,4,0,0.32,28,15,6,14,8,15,7,20,13,2,847,15,56,25,38,461,14,63,36,549,11,23,0,0,85
Tyrick Mitchell,eng ENG,DF,Crystal Palace,eng Premier League,24.0,0,5,0,0,0,1.3,1.3,6.4,-1.3,-1.3,12,3,0.35,0.09,0,976,1355,72.0,15688,5986,3.7,-1.4,41,51,33,16,1122,0,2,105,0,0,0,63,70,171,2.1,65,1,0,3,2,1,0.2,91,55,57,27,7,21,19,68,108,2,1754,114,43,16,17,820,9,38,30,902,20,23,1,0,168
Kaoru Mitoma,jp JPN,"FW,MF",Brighton,eng Premier League,27.0,10,4,10,0,0,9.2,9.2,4.6,0.8,0.8,57,27,1.97,0.93,0,749,988,75.8,9777,2226,4.0,-0.6,37,36,36,8,965,9,1,75,0,0,0,146,89,291,3.01,73,0,6,3,4,1,0.35,45,27,15,14,16,30,14,48,10,0,1375,17,164,52,74,830,56,53,23,966,26,40,0,0,99
Maximilian Mittelstädt,de GER,DF,Stuttgart,de Bundesliga,27.0,1,7,1,0,0,0.9,0.9,4.7,0.1,0.1,21,4,0.77,0.15,0,1698,2035,83.4,27337,8592,7.0,2.3,47,160,61,31,1757,2,11,164,5,10,0,62,182,155,3.57,87,8,2,0,0,1,0.55,79,54,42,30,7,20,47,47,96,2,2385,106,32,21,14,1251,2,24,8,1541,24,24,0,0,119
Koji Miyoshi,jp JPN,"FW,MF",Bochum,de Bundesliga,27.0,1,0,1,0,0,1.1,1.1,0.8,-0.1,-0.1,12,5,2.33,0.97,0,77,130,59.2,1216,422,0.6,-0.8,5,10,4,0,123,4,1,9,2,0,0,11,15,23,1.75,7,0,1,1,0,0,0.0,8,5,2,1,5,5,2,10,2,0,201,3,21,5,9,120,3,14,5,124,2,10,0,0,22
Henrikh Mkhitaryan,am ARM,MF,Inter,it Serie A,35.0,1,4,1,0,0,1.5,1.5,2.7,-0.5,-0.5,23,2,0.89,0.08,0,1326,1518,87.4,21510,5499,4.1,1.3,29,156,53,5,1493,5,11,22,1,2,0,72,199,93,3.8,96,2,2,0,1,0,0.45,43,24,17,16,10,25,16,29,41,0,1747,45,44,7,19,1036,13,27,15,1301,23,33,0,0,131
Jakub Moder,pl POL,MF,Brighton,eng Premier League,25.0,0,0,0,0,0,0.0,0.0,0.2,0.0,0.0,0,0,0.0,0.0,0,18,22,81.8,254,82,0.5,-0.2,3,0,1,1,22,0,0,1,0,0,0,2,4,0,32.73,4,0,0,0,0,0,0.0,1,0,1,0,0,2,0,0,3,0,27,2,1,0,0,13,0,0,0,14,0,0,0,0,2
Rui Modesto,ao ANG,"DF,MF",Udinese,it Serie A,24.0,0,1,0,0,0,0.5,0.5,0.8,-0.5,-0.5,3,2,0.44,0.3,0,231,310,74.5,3481,983,0.5,0.2,14,15,6,5,252,1,1,26,1,0,0,16,22,43,3.4,22,1,0,0,0,0,0.3,16,12,4,9,3,2,8,10,13,0,388,9,14,3,5,166,4,9,3,212,10,10,0,0,26
Luka Modrić,hr CRO,MF,Real Madrid,es La Liga,38.0,2,6,2,0,0,1.6,1.6,7.0,0.4,0.4,22,6,1.08,0.3,1,1724,1969,87.6,29739,9647,6.3,-1.0,66,225,34,2,1778,11,24,112,48,25,1,62,208,63,6.01,84,33,0,4,0,1,0.74,31,20,16,13,2,18,27,17,17,0,2124,39,26,14,9,1419,13,23,13,1649,6,23,0,0,105
Terem Moffi,ng NGA,FW,Nice,fr Ligue 1,25.0,1,0,1,0,0,2.3,2.3,0.0,-1.3,-1.3,6,4,9.31,6.21,0,6,10,60.0,93,30,0.0,0.0,0,2,0,0,10,0,0,0,0,0,0,1,1,4,7.63,1,0,1,3,0,0,3.05,0,0,0,0,0,0,0,0,0,0,17,0,5,1,0,9,1,0,1,15,3,1,0,0,1
Mostafa Mohamed,eg EGY,FW,Nantes,fr Ligue 1,26.0,5,0,5,0,0,5.5,5.5,0.4,-0.5,-0.5,43,16,3.09,1.15,2,160,247,64.8,2461,647,0.4,-0.4,6,16,6,0,227,2,0,4,0,0,0,11,20,50,1.22,9,0,4,3,1,0,0.14,18,9,6,8,4,8,10,10,27,0,452,34,76,12,14,239,2,47,22,285,57,32,1,0,50
Johan Mojica,co COL,DF,Mallorca,es La Liga,31.0,1,2,1,0,0,0.9,0.9,4.1,0.1,0.1,17,3,0.56,0.1,4,1217,1641,74.2,21542,9303,4.4,-2.1,40,102,53,33,1297,2,9,143,0,1,0,66,130,142,2.71,67,7,4,3,2,0,0.2,35,23,26,6,3,21,26,13,84,3,1949,96,18,33,48,1024,5,52,27,1115,9,18,1,2,181
David Mokwa,fr FRA,"DF,FW",Hoffenheim,de Bundesliga,20.0,0,0,0,0,0,0.3,0.3,0.0,-0.3,-0.3,2,2,8.18,8.18,0,1,4,25.0,9,0,0.0,0.0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,11,0,2,1,0,5,0,2,2,5,2,1,0,0,1
Alberto Moleiro,es ESP,"FW,MF",Las Palmas,es La Liga,20.0,6,1,6,0,0,5.6,5.6,3.3,0.4,0.4,68,24,2.25,0.8,0,845,1039,81.3,11961,2734,3.6,-2.3,41,75,29,5,1006,9,1,32,0,1,0,97,116,179,3.52,76,0,17,7,5,1,0.2,27,12,12,14,1,30,18,24,8,0,1416,4,102,64,78,946,28,76,48,1097,5,31,0,0,132
Nahuel Molina,ar ARG,DF,Atlético Madrid,es La Liga,26.0,0,3,0,0,0,0.8,0.8,1.5,-0.8,-0.8,9,1,0.51,0.06,0,945,1182,79.9,14192,5083,1.9,1.5,13,43,19,5,998,2,6,55,3,6,0,35,61,96,2.49,32,6,3,1,0,2,0.28,44,19,21,21,2,25,13,16,53,0,1366,59,24,15,13,782,4,21,3,883,10,13,0,0,66
Florent Mollet,fr FRA,"MF,FW",Nantes,fr Ligue 1,32.0,0,0,0,0,0,0.3,0.3,0.3,-0.3,-0.3,6,2,2.23,0.74,0,83,106,78.3,1300,307,0.2,-0.3,6,9,3,1,91,0,0,13,2,8,0,3,9,12,3.7,5,3,0,1,0,1,0.0,2,2,1,1,0,0,1,2,4,0,125,5,5,2,1,85,0,2,1,84,1,2,0,0,13
Jon Moncayola,es ESP,MF,Osasuna,es La Liga,26.0,0,0,0,0,0,1.6,1.6,3.7,-1.6,-1.6,21,9,0.9,0.39,0,738,992,74.4,13615,4472,4.6,-3.7,33,76,25,13,887,1,9,107,14,19,0,25,107,51,2.87,46,18,0,2,0,1,0.17,70,41,29,33,8,29,11,34,20,0,1198,37,33,4,7,571,6,24,8,727,15,34,0,0,91
Gonzalo Montiel,ar ARG,"DF,MF",Sevilla,es La Liga,27.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0.8,0.0,0,68,78,87.2,1288,364,0.1,0.0,0,8,1,1,64,0,0,3,0,0,0,3,2,3,1.59,2,0,0,0,0,0,0.0,4,2,3,1,0,1,2,0,11,0,99,9,2,0,0,37,0,2,0,57,1,3,0,0,4
Mikey Moore,eng ENG,FW,Tottenham,eng Premier League,16.0,0,1,0,0,0,0.2,0.2,0.3,-0.2,-0.2,3,0,0.74,0.0,0,67,96,69.8,853,226,0.6,0.7,3,2,5,1,88,0,0,16,3,0,0,12,9,40,2.95,7,2,0,1,2,0,0.49,2,1,2,0,0,4,1,2,4,0,142,4,13,2,13,106,5,10,7,107,1,3,0,0,11
Álvaro Morata,es ESP,"FW,MF",Milan,it Serie A,31.0,5,0,5,0,0,3.9,3.9,0.8,1.1,1.1,27,10,2.21,0.82,0,202,268,75.4,3147,538,0.3,-0.8,7,15,3,0,249,3,5,13,0,0,0,18,26,63,1.72,16,0,1,1,2,1,0.25,16,10,5,8,3,3,5,7,5,0,383,6,61,6,7,215,7,24,16,292,14,25,0,0,31
Morato,br BRA,DF,Nott'ham Forest,eng Premier League,23.0,0,0,0,0,0,0.2,0.2,0.0,-0.2,-0.2,2,1,0.2,0.1,0,238,309,77.0,3987,1931,0.0,0.0,0,19,0,0,290,1,0,0,0,0,0,1,19,1,0.3,3,0,0,0,0,0,0.0,22,14,18,3,1,8,10,14,78,2,457,90,2,2,0,164,0,6,3,206,6,11,0,0,36
Diego Moreira,pt POR,"DF,MF",Strasbourg,fr Ligue 1,19.0,2,7,2,0,0,2.0,2.0,7.3,0.0,0.0,25,8,0.88,0.28,1,1028,1327,77.5,16315,3941,7.4,-0.3,30,30,37,10,1170,7,6,93,4,3,0,99,87,245,2.35,44,5,10,4,2,2,0.35,44,28,17,19,8,26,35,23,65,0,1701,82,81,57,59,953,36,65,33,1098,27,26,0,1,139
Alberto Moreno,es ESP,DF,Como,it Serie A,32.0,0,0,0,0,0,0.4,0.4,1.2,-0.4,-0.4,14,6,0.73,0.31,0,893,1082,82.5,15712,5538,1.6,-1.2,19,63,23,12,909,1,5,49,0,0,0,23,81,58,1.88,32,3,0,1,0,0,0.1,25,11,17,8,0,14,14,12,40,2,1224,58,17,3,3,722,4,18,3,805,11,17,0,0,74
Álex Moreno,es ESP,"DF,MF",Nott'ham Forest,eng Premier League,31.0,0,1,0,0,0,0.2,0.2,1.3,-0.2,-0.2,6,0,0.57,0.0,0,308,428,72.0,4574,1911,1.1,-0.3,8,25,9,2,338,3,1,19,0,0,0,26,34,34,1.51,15,1,0,0,0,0,0.19,25,18,20,5,0,24,15,11,43,0,559,60,8,8,8,229,4,13,6,258,3,12,0,0,50
Gerard Moreno,es ESP,FW,Villarreal,es La Liga,32.0,3,2,0,3,3,4.2,1.8,3.6,-1.2,-1.8,23,9,2.87,1.12,0,235,305,77.0,4192,1161,1.9,-1.6,17,30,15,2,289,2,2,10,0,0,0,19,53,60,4.87,31,0,2,3,2,1,0.5,7,4,3,2,2,9,2,0,8,0,404,8,48,18,13,243,9,17,9,324,17,10,1,0,25
Matias Moreno,ar ARG,DF,Fiorentina,it Serie A,20.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,58,71,81.7,1022,367,0.0,0.0,1,5,2,0,67,0,1,2,0,0,0,1,6,1,1.87,2,0,1,0,0,0,0.0,8,8,5,3,0,0,1,5,9,0,98,8,1,3,0,55,0,1,1,55,3,4,0,1,5
Xavier Moreno,es ESP,FW,Valladolid,es La Liga,19.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,3,13,23.1,66,11,0.0,0.0,0,0,0,0,12,0,0,2,0,0,0,1,1,5,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,17,1,2,0,1,8,0,0,1,9,1,0,0,0,1
Tete Morente,es ESP,"FW,MF",Lecce,it Serie A,27.0,3,2,3,0,0,2.9,2.9,1.6,0.1,0.1,41,13,1.83,0.58,0,545,729,74.8,9087,2766,1.2,0.4,25,54,23,9,697,3,5,56,0,3,0,48,102,144,2.72,50,1,4,3,2,1,0.18,27,17,10,11,6,26,14,16,31,1,983,24,40,30,22,560,6,43,15,643,37,26,0,0,104
Mateu Morey,es ESP,DF,Mallorca,es La Liga,24.0,0,0,0,0,0,0.4,0.4,0.3,-0.4,-0.4,3,1,0.36,0.12,0,301,390,77.2,4650,1337,0.2,-0.3,4,14,3,1,331,1,0,16,0,0,0,17,17,32,1.46,9,0,1,0,1,1,0.12,22,18,13,6,3,10,15,11,32,2,502,38,7,9,6,254,6,8,10,272,8,17,0,0,41
Ilaix Moriba,gn GUI,MF,Celta Vigo,es La Liga,21.0,1,1,1,0,0,1.7,1.7,1.5,-0.7,-0.7,34,11,1.44,0.46,0,843,984,85.7,13441,3569,2.4,-0.5,20,107,19,2,953,3,11,6,0,0,0,34,119,64,2.32,40,0,2,5,4,4,0.21,68,42,24,30,14,25,14,29,33,1,1305,36,39,15,21,769,9,51,25,905,24,32,1,0,108
Manu Morlanes,es ESP,MF,Mallorca,es La Liga,25.0,0,0,0,0,0,0.6,0.6,0.3,-0.6,-0.6,11,1,0.74,0.07,0,630,709,88.9,10235,3100,0.7,-0.3,10,84,10,3,683,2,5,8,0,1,0,16,88,39,2.35,32,1,0,2,0,0,0.0,43,27,18,20,5,12,24,19,16,0,845,32,8,3,5,459,0,8,10,534,10,15,0,0,79
Nikola Moro,hr CRO,MF,Bologna,it Serie A,26.0,0,2,0,0,0,0.5,0.5,0.8,-0.5,-0.5,14,2,1.04,0.15,1,646,805,80.2,12659,3406,1.0,1.2,20,98,10,2,741,1,9,33,0,13,0,17,93,21,3.56,33,9,1,3,0,2,0.44,35,27,7,21,7,11,13,18,18,0,923,19,3,7,4,486,0,11,4,592,17,22,0,0,73
Raúl Moro,es ESP,"MF,FW",Valladolid,es La Liga,21.0,4,5,4,0,0,4.1,4.1,5.7,-0.1,-0.1,46,16,1.77,0.62,0,517,797,64.9,10214,3063,5.5,-0.7,44,41,38,22,692,7,14,149,18,12,1,112,81,190,3.61,57,13,19,1,3,1,0.35,22,13,15,4,3,19,10,8,20,1,1050,17,108,57,67,607,60,47,11,713,8,4,0,0,85
Sam Morsy,eg EGY,MF,Ipswich Town,eng Premier League,32.0,1,1,1,0,0,0.4,0.4,1.2,0.6,0.6,13,3,0.43,0.1,0,1249,1445,86.4,20142,5579,1.5,-0.2,24,149,17,4,1388,2,5,15,0,0,0,22,120,13,1.67,46,4,0,0,1,0,0.07,68,41,40,24,4,35,29,34,47,5,1683,97,6,17,9,852,3,17,13,1137,18,48,0,1,157
Gabriel Moscardo,br BRA,"MF,DF",Reims,fr Ligue 1,18.0,0,0,0,0,0,0.2,0.2,0.0,-0.2,-0.2,2,0,2.14,0.0,0,30,38,78.9,414,80,0.1,0.0,0,1,2,0,37,0,0,0,0,0,0,1,3,3,0.0,0,0,0,0,0,0,0.0,3,1,2,1,0,2,0,3,1,0,54,0,2,1,1,29,0,3,3,36,3,1,0,0,4
Cristhian Mosquera,es ESP,DF,Valencia,es La Liga,20.0,1,0,1,0,0,0.4,0.4,0.0,0.6,0.6,5,2,0.14,0.05,0,1858,2053,90.5,32827,11556,0.3,0.0,0,118,1,0,1931,0,6,2,0,0,0,35,123,6,0.38,12,0,0,0,0,2,0.03,56,36,41,13,2,9,35,37,128,4,2367,233,7,5,4,1401,0,18,10,1583,41,14,0,3,190
Daniel Mosquera,co COL,FW,Hellas Verona,it Serie A,24.0,5,1,5,0,0,6.6,6.6,1.3,-1.6,-1.6,57,15,3.73,0.98,0,230,335,68.7,2878,544,0.9,-0.3,12,21,4,0,319,1,0,2,0,0,0,17,25,83,2.82,28,0,1,11,1,2,0.2,11,8,3,5,3,14,2,11,10,0,509,12,74,16,8,250,9,43,17,352,79,44,0,0,54
Yerson Mosquera,co COL,DF,Wolves,eng Premier League,23.0,0,0,0,0,0,0.3,0.3,0.1,-0.3,-0.3,2,0,0.41,0.0,0,205,240,85.4,3996,1184,0.0,-0.1,2,16,1,1,230,0,1,2,0,0,0,0,7,0,1.02,5,0,0,0,0,0,0.0,11,7,9,2,0,5,10,13,14,0,294,43,7,0,0,168,0,4,1,182,11,6,0,0,24
Dany Mota,pt POR,"FW,MF",Monza,it Serie A,26.0,5,2,5,0,0,5.1,5.1,1.8,-0.1,-0.1,42,11,1.8,0.47,0,412,569,72.4,6464,1039,1.7,0.2,22,27,19,6,533,4,6,38,0,0,0,53,47,139,2.35,41,0,3,4,7,0,0.13,13,3,2,3,8,4,9,18,27,3,820,24,80,13,22,501,12,63,29,605,60,30,0,0,61
Yael Mouanga,fr FRA,DF,Montpellier,fr Ligue 1,19.0,0,0,0,0,0,0.1,0.1,0.2,-0.1,-0.1,1,0,0.1,0.0,0,420,479,87.7,7555,2597,0.1,-0.2,2,25,1,1,451,0,1,2,0,0,0,4,22,2,0.57,4,1,0,1,0,0,0.0,14,8,9,3,2,2,10,16,50,0,589,92,4,5,0,337,2,9,3,386,14,10,0,0,29
Aimen Moueffek,fr FRA,MF,Saint-Étienne,fr Ligue 1,23.0,0,1,0,0,0,1.1,1.1,1.1,-1.1,-1.1,10,2,0.87,0.17,0,336,396,84.8,4817,1133,1.0,-0.1,10,39,8,1,390,2,0,4,0,0,0,20,43,31,1.82,17,0,3,1,0,0,0.26,20,12,3,11,6,13,5,20,26,1,554,35,25,11,13,302,4,34,13,350,9,20,0,0,59
Youssoufa Moukoko,de GER,"FW,MF",Nice,fr Ligue 1,19.0,2,1,2,0,0,2.2,2.2,0.8,-0.2,-0.2,6,2,2.65,0.88,0,36,44,81.8,522,206,0.2,0.2,5,2,1,1,41,0,0,1,0,0,0,2,6,12,2.62,5,0,0,1,0,0,0.44,3,2,2,1,0,1,0,2,0,0,75,0,14,2,5,43,1,3,4,46,2,1,0,0,14
Steve Mounié,bj BEN,"FW,MF",Augsburg,de Bundesliga,29.0,1,0,1,0,0,3.2,3.2,0.0,-2.2,-2.2,22,7,5.71,1.82,0,69,110,62.7,1037,191,0.2,0.0,1,5,1,0,108,0,0,3,0,0,0,8,11,27,1.82,2,0,1,4,0,0,0.0,4,4,0,1,3,1,1,1,5,1,164,5,36,1,3,86,3,12,5,129,26,9,0,0,8
Mason Mount,eng ENG,MF,Manchester Utd,eng Premier League,25.0,1,0,1,0,0,3.2,3.2,0.6,-2.2,-2.2,20,9,2.89,1.3,0,207,253,81.8,3015,709,0.6,-0.6,8,19,8,2,238,2,2,13,3,1,0,15,33,41,3.18,15,3,0,3,1,0,0.0,15,5,5,8,2,3,4,11,4,0,339,11,31,1,8,215,2,16,9,249,4,16,0,0,18
Santiago Mouriño,uy URU,DF,Alavés,es La Liga,22.0,0,1,0,0,0,0.9,0.9,0.9,-0.9,-0.9,13,3,0.63,0.15,0,539,691,78.0,9882,4329,0.6,0.1,7,47,5,2,638,2,3,4,0,0,0,14,46,1,0.54,8,1,0,0,2,0,0.1,43,28,31,12,0,17,29,27,120,0,952,116,14,4,5,442,0,7,11,440,38,32,1,0,85
Louis Mouton,fr FRA,MF,Saint-Étienne,fr Ligue 1,22.0,0,1,0,0,0,1.3,1.3,1.3,-1.3,-1.3,19,3,1.64,0.26,0,442,551,80.2,7284,2076,1.3,-0.3,16,42,13,1,525,5,4,21,1,9,0,18,54,51,2.41,22,3,2,0,0,1,0.17,49,25,14,25,10,15,10,17,19,0,703,20,24,12,12,366,2,14,13,456,5,24,0,0,63
Divin Mubama,eng ENG,FW,Manchester City,eng Premier League,19.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0,3.21,0.0,0,2,3,66.7,44,18,0.0,0.0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,2,0,0,1,3,0,0,0,0,1
Mykhailo Mudryk,ua UKR,FW,Chelsea,eng Premier League,23.0,0,0,0,0,0,0.3,0.3,1.0,-0.3,-0.3,1,1,0.6,0.6,0,28,42,66.7,431,165,0.5,-1.0,2,2,2,1,40,1,0,7,0,0,0,7,5,12,3.6,4,1,0,0,1,0,0.0,2,2,2,0,0,0,0,3,1,0,62,3,6,3,5,39,0,3,7,42,2,2,0,0,9
Ngal'Ayel Mukau,cd COD,MF,Lille,fr Ligue 1,19.0,0,1,0,0,0,0.8,0.8,0.7,-0.8,-0.8,11,2,0.83,0.15,0,575,645,89.1,9354,1964,0.7,0.3,12,52,8,1,638,1,2,5,0,0,0,19,57,43,1.51,19,0,0,1,0,0,0.08,33,18,9,22,2,12,15,14,22,0,778,19,16,9,8,426,3,18,8,570,14,19,0,0,63
Nordi Mukiele,fr FRA,DF,Leverkusen,de Bundesliga,26.0,1,0,1,0,0,1.4,1.4,1.0,-0.4,-0.4,7,3,0.7,0.3,0,488,607,80.4,7457,2544,0.9,-1.0,9,44,4,2,527,0,1,13,0,0,0,20,36,28,1.5,11,0,2,1,0,1,0.1,20,16,8,8,4,6,16,10,37,2,725,27,22,9,7,363,6,10,3,441,16,6,0,0,46
